"COUNTRY_CODE","ISO_YEAR","Temperature_variation","GDP_percapita","Air_passenger","Population","medium","N_medium","time_medium","rate_medium","high","N_high","time_high","rate_high","veryhigh","N_veryhigh","time_veryhigh","rate_veryhigh"
"Bangladesh",2020,0.3998165,6838.326,6260241,164913011,1,36,1,0.02,1,28,2,0.03,1,28,2,0.03
"Bangladesh",2021,0.028929234,7015.1978,2984121.8,166297978,1,37,1,0.03,1,37,1,0.03,0,0,52,0.03
"Bangladesh",2022,0.47712708,7441.0693,3750753,167658798,1,48,1,0.05,1,34,5,0.06,1,34,5,0.06
"Bangladesh",2023,0.4329114,7888.164,NA,169384838,1,50,1,0.05,1,49,1,0.06,1,49,1,0.06
"Cambodia",2017,0.70016605,5283.7295,1047394,15852754,1,20,29,1.21,1,20,29,1.45,1,20,29,1.45
"Cambodia",2018,0.1648782,5632.0312,1305297,16073324,0,0,52,4.47,0,0,52,7.13,0,0,52,7.45
"Cambodia",2019,0.32897916,6050.591,1411059,16274473,0,0,52,4.97,0,0,52,6.83,0,0,52,7.35
"Cambodia",2020,0.6816371,6448.885,1429503.8,16481244,0,0,52,1.33,0,0,52,1.64,0,0,52,1.64
"Cambodia",2021,0.3121945,6128.782,609564.4,16725440,0,0,52,0.89,0,0,52,0.96,0,0,52,1.39
"Cambodia",2022,-0.11402639,6225.5327,50217.46,16974258,1,22,16,0.62,1,9,16,0.72,1,9,16,0.72
"Cambodia",2023,-0.103848934,6458.368,NA,17201662,1,52,1,0.49,1,51,1,0.58,1,51,1,0.58
"Indonesia",2016,0.33206907,10893.662,90095130,261799196,1,46,1,0.02,1,46,1,0.02,0,0,52,0.03
"Indonesia",2017,0.6446726,11319.663,99274010,264627382,1,41,2,0.02,1,20,2,0.03,1,20,2,0.03
"Indonesia",2018,0.30865145,11772.574,108393120,267346608,0,0,52,0.05,0,0,52,0.06,0,0,52,0.07
"Indonesia",2019,0.31211773,12262.231,115154104,269951801,1,26,1,0.04,1,18,2,0.05,1,18,2,0.05
"Indonesia",2020,0.44233274,12757.785,91323150,272489333,1,1,3,0.05,0,0,52,0.08,0,0,52,0.08
"Indonesia",2021,0.53817177,12388.545,37523690,274814825,0,0,52,0.05,0,0,52,0.07,0,0,52,0.08
"Indonesia",2022,0.35387278,12757.074,33549828,276758010,1,27,1,0.01,0,0,52,0.04,0,0,52,0.04
"Indonesia",2023,0.2989416,13334.266,NA,278830479,1,41,4,0.01,1,41,4,0.01,0,0,52,0.01
"Sri Lanka",2023,-0.13251908,13249.065,NA,22834913,1,11,1,12.93,1,11,1,15.92,1,11,1,15.92
"Thailand",2013,0.27619776,17869.637,36392468,69436048,1,1,2,219.62,0,0,52,231.31,0,0,52,231.31
"Thailand",2014,-0.009373347,18242.426,43029150,69845062,0,0,52,200.45,0,0,52,230.17,0,0,52,230.17
"Thailand",2015,0.033388615,18324.615,46546612,70216319,0,0,52,194.38,0,0,52,230.17,0,0,52,230.17
"Thailand",2016,0.43353748,18811.998,56447636,70540737,0,0,52,181.57,0,0,52,187.46,0,0,52,187.46
"Thailand",2017,0.5785033,19370.61,62341676,70859797,0,0,52,182.68,0,0,52,187.46,0,0,52,187.46
"Thailand",2018,0.12942012,20094.678,70704890,71160146,1,3,34,147.41,0,0,52,158.54,0,0,52,162.19
"Thailand",2019,0.0791742,20879.902,76053040,71376039,1,3,36,155.01,1,2,37,158.41,0,0,52,158.41
"Thailand",2020,0.7282869,21277.84,76344410,71522216,1,1,4,156.04,1,1,4,161.82,1,1,4,161.82
"Thailand",2023,-0.0012750626,20762.795,NA,71735273,0,0,52,172.46,0,0,52,197.3,0,0,52,197.3
