"season","week","rate"
2009,29,0.22
2009,44,0.06
2010,9,0.23
2010,10,0.24
2009,23,0.24
2009,22,0.35
2009,18,0.35
2009,28,0.18
2009,43,0.04
2009,15,0.35
2009,27,0.15
2009,25,0.18
2009,16,0.32
2009,24,0.23
2010,11,0.24
2010,2,0.16
2009,17,0.42
2010,1,0.2
2009,51,0.23
2009,30,0.11
2010,12,0.15
2010,13,0.25
2009,36,0.11
2009,20,0.35
2009,34,0.13
2009,35,0.21
2009,26,0.2
2009,47,0.03
2009,21,0.21
2009,41,0.05
2009,19,0.44
2009,32,0.16
2009,37,0.13
2009,50,0.21
2009,14,0.3
2009,33,0.13
2009,52,0.21
2009,45,0.05
2009,46,0.05
2009,49,0.14
2009,42,0.06
2009,31,0.11
2009,48,0.08
2009,38,0.14
2009,39,0.12
2009,40,0.08
2010,35,0.06
2010,26,0.13
2010,34,0.04
2010,50,0.11
2010,21,0.34
2011,13,0.17
2010,29,0.09
2011,9,0.24
2010,27,0.18
2010,19,0.48
2010,41,0.04
2010,28,0.15
2010,20,0.46
2011,10,0.15
2011,11,0.14
2010,32,0.07
2010,18,0.66
2010,49,0.07
2010,25,0.18
2010,40,0.09
2010,33,0.09
2010,51,0.18
2010,22,0.33
2010,24,0.32
2010,42,0.05
2010,16,0.74
2010,46,0.05
2010,47,0.05
2011,12,0.26
2010,31,0.09
2010,30,0.06
2010,39,0.1
2010,36,0.11
2010,38,0.05
2010,52,0.11
2010,45,0.06
2010,48,0.04
2010,14,0.58
2010,17,0.61
2010,43,0.07
2011,1,0.15
2011,2,0.21
2010,44,0.07
2010,23,0.18
2010,15,0.48
2010,37,0.04
2011,14,0.2
2011,15,0.21
2011,16,0.22
2011,47,0.04
2011,45,0.06
2011,30,0.19
2011,46,0.08
2011,17,0.24
2011,44,0.06
2011,39,0.11
2011,40,0.08
2011,29,0.2
2011,37,0.05
2011,41,0.06
2011,24,0.25
2012,2,0.19
2011,36,0.16
2012,13,0.25
2011,38,0.1
2011,23,0.46
2012,1,0.17
2011,33,0.14
2011,51,0.1
2011,32,0.25
2011,28,0.14
2011,43,0.1
2011,48,0.04
2011,27,0.2
2011,52,0.17
2011,18,0.24
2011,22,0.28
2011,50,0.08
2011,31,0.12
2011,26,0.27
2011,34,0.08
2011,21,0.27
2012,10,0.2
2012,12,0.27
2012,9,0.18
2011,19,0.29
2011,25,0.25
2011,42,0.05
2011,35,0.05
2012,11,0.25
2011,49,0.11
2011,20,0.33
2012,22,0.79
2012,50,0.2
2012,21,0.8
2012,25,0.44
2012,26,0.5
2012,27,0.37
2012,20,0.79
2012,23,0.7
2012,17,0.72
2013,9,0.25
2012,32,0.14
2012,14,0.45
2012,18,1
2012,16,0.45
2012,24,0.44
2012,33,0.11
2012,49,0.14
2012,15,0.61
2012,19,0.81
2012,29,0.34
2012,30,0.15
2012,28,0.42
2012,31,0.14
2012,34,0.09
2012,47,0.09
2013,10,0.14
2012,45,0.05
2013,13,0.15
2012,35,0.15
2012,41,0.08
2012,48,0.06
2012,52,0.19
2012,42,0.05
2012,51,0.22
2012,40,0.09
2012,46,0.03
2013,2,0.15
2012,43,0.03
2012,44,0.04
2013,11,0.22
2013,12,0.26
2012,39,0.11
2012,36,0.14
2012,37,0.12
2012,38,0.06
2013,1,0.14
2013,46,0.11
2013,40,0.2
2014,12,0.86
2013,42,0.11
2013,30,0.16
2013,47,0.11
2013,39,0.16
2013,41,0.22
2014,13,0.54
2013,29,0.33
2013,24,0.39
2013,38,0.15
2013,45,0.05
2014,11,0.52
2013,23,0.33
2014,2,0.27
2014,10,0.37
2013,48,0.14
2013,28,0.35
2013,33,0.11
2013,22,0.17
2013,51,0.27
2013,44,0.08
2014,1,0.24
2013,37,0.11
2014,9,0.34
2013,43,0.14
2013,20,0.54
2013,21,0.36
2013,19,0.47
2013,18,0.36
2013,34,0.18
2013,16,0.31
2013,50,0.22
2013,26,0.26
2013,25,0.26
2013,52,0.29
2013,27,0.34
2013,36,0.19
2013,15,0.4
2013,17,0.32
2013,49,0.18
2013,32,0.18
2013,14,0.19
2013,35,0.13
2013,31,0.18
2014,14,0.62
2014,49,0.13
2014,47,0.11
2014,38,0.13
2014,39,0.06
2014,50,0.15
2014,28,0.34
2014,48,0.11
2014,46,0.12
2014,22,0.87
2014,23,0.86
2014,43,0.11
2014,37,0.15
2014,42,0.09
2014,36,0.06
2014,24,0.53
2014,25,0.51
2014,45,0.05
2014,18,0.92
2014,21,1.08
2014,41,0.1
2014,40,0.08
2014,19,1.02
2014,20,1.08
2014,44,0.06
2014,17,1.01
2014,51,0.23
2014,15,0.95
2014,29,0.33
2014,27,0.33
2014,16,0.82
2014,33,0.15
2014,35,0.06
2014,34,0.12
2014,30,0.37
2014,26,0.47
2014,52,0.16
2014,31,0.28
2014,32,0.13
2016,13,0.53
2016,11,0.5
2016,12,0.83
2016,10,0.46
2016,1,0.24
2016,9,0.43
2016,8,0.34
2016,28,0.21
2016,22,0.37
2017,9,0.29
2016,29,0.22
2016,16,0.7
2017,8,0.24
2016,14,0.67
2016,23,0.38
2016,26,0.25
2016,27,0.2
2017,1,0.25
2016,20,0.58
2016,15,0.85
2016,31,0.17
2016,52,0.36
2016,19,0.71
2016,17,0.66
2016,46,0.08
2016,35,0.13
2017,10,0.28
2016,24,0.25
2016,18,0.83
2016,30,0.14
2016,21,0.43
2016,32,0.1
2016,33,0.17
2016,51,0.29
2016,50,0.13
2016,45,0.06
2017,13,0.4
2016,47,0.06
2016,25,0.29
2017,12,0.65
2016,41,0.11
2016,34,0.08
2016,44,0.05
2016,40,0.08
2016,42,0.09
2016,39,0.14
2016,43,0.09
2016,36,0.05
2016,49,0.13
2016,48,0.06
2016,38,0.16
2016,37,0.06
2017,11,0.4
2018,10,0.37
2017,24,0.92
2017,46,0.07
2017,45,0.08
2018,9,0.4
2017,23,1.35
2017,18,1.25
2017,41,0.14
2017,25,0.68
2017,49,0.15
2017,47,0.11
2018,8,0.4
2017,42,0.1
2017,40,0.19
2017,30,0.19
2018,12,0.53
2017,39,0.2
2018,13,0.27
2017,43,0.09
2018,11,0.5
2017,38,0.13
2017,29,0.26
2017,15,0.76
2017,44,0.08
2017,48,0.12
2017,16,0.85
2017,17,1.26
2017,19,1.21
2017,28,0.41
2017,34,0.18
2017,35,0.14
2017,14,0.59
2017,37,0.15
2017,50,0.26
2017,51,0.22
2017,20,1.12
2017,27,0.4
2017,32,0.12
2017,33,0.16
2017,36,0.13
2018,1,0.2
2017,22,1.27
2017,26,0.55
2017,31,0.2
2017,52,0.23
2017,21,1.21
2018,42,0.09
2018,37,0.05
2019,11,0.44
2018,30,0.12
2018,36,0.14
2018,25,0.28
2018,27,0.27
2018,29,0.19
2019,1,0.33
2018,32,0.18
2019,12,0.39
2018,26,0.25
2018,28,0.19
2019,9,0.29
2018,16,0.53
2018,21,0.58
2018,43,0.11
2018,31,0.18
2019,13,0.17
2018,47,0.07
2018,23,0.46
2018,22,0.42
2018,38,0.1
2018,50,0.15
2019,8,0.25
2018,44,0.08
2018,51,0.14
2018,33,0.21
2018,34,0.16
2018,24,0.44
2019,10,0.34
2018,20,0.68
2018,15,0.58
2018,52,0.29
2018,49,0.12
2018,14,0.37
2018,18,0.42
2018,39,0.06
2018,19,0.76
2018,46,0.06
2018,48,0.07
2018,35,0.07
2018,40,0.14
2018,17,0.46
2018,41,0.09
2018,45,0.07
2019,18,0.55
2019,20,0.53
2019,17,0.4
2019,19,0.52
2019,41,0.03
2019,48,0.06
2019,33,0.11
2019,40,0.03
2019,49,0.14
2019,44,0.1
2019,51,0.15
2019,45,0.05
2019,38,0.05
2019,50,0.16
2019,42,0.04
2019,37,0.05
2019,34,0.15
2019,39,0.05
2019,23,0.79
2019,31,0.16
2019,25,0.87
2019,35,0.11
2019,26,0.84
2019,24,0.92
2019,28,0.37
2019,43,0.1
2019,46,0.04
2019,47,0.07
2019,22,0.37
2019,27,0.58
2019,36,0.05
2019,32,0.11
2019,14,0.29
2019,52,0.16
2019,21,0.4
2019,30,0.24
2019,29,0.2
2019,15,0.6
2019,16,0.36
2021,1,0.16
2021,13,0.04
2021,2,0.15
2021,12,0.1
2021,4,0.15
2021,11,0.13
2021,8,0.21
2021,3,0.18
2021,10,0.2
2021,7,0.19
2021,6,0.19
2021,5,0.21
2021,9,0.18
2022,8,0.19
2021,17,0.07
2021,42,0.11
2021,41,0.05
2022,11,0.36
2022,7,0.11
2021,18,0.09
2022,9,0.21
2021,16,0.03
2021,19,0.07
2021,46,0.04
2022,3,0.13
2021,36,0.11
2021,14,0.04
2022,12,0.32
2021,43,0.03
2022,4,0.12
2022,5,0.18
2021,52,0.09
2021,45,0.03
2021,44,0.01
2021,15,0.07
2022,10,0.23
2021,32,0.15
2021,33,0.14
2021,51,0.11
2021,49,0.04
2021,20,0.09
2022,1,0.14
2021,50,0.09
2021,30,0.18
2021,48,0.07
2021,35,0.09
2022,6,0.14
2021,39,0.03
2021,47,0.06
2021,31,0.18
2022,2,0.13
2021,37,0.11
2021,21,0.06
2021,29,0.22
2021,34,0.07
2021,28,0.4
2021,40,0.05
2021,38,0.11
2022,13,0.31
2022,49,0.11
2022,48,0.06
2022,40,0.06
2022,45,0.04
2022,46,0.04
2022,39,0.03
2023,3,0.19
2023,12,0.31
2023,2,0.14
2022,47,0.07
2023,10,0.32
2022,44,0.05
2022,21,0.24
2022,42,0.02
2022,43,0.04
2023,9,0.24
2022,31,0.05
2022,50,0.09
2023,13,0.13
2022,36,0.06
2022,32,0.07
2023,4,0.13
2023,1,0.13
2022,29,0.08
2022,15,0.33
2023,11,0.39
2022,38,0.02
2022,14,0.56
2022,19,0.2
2022,20,0.27
2022,41,0.02
2022,37,0.06
2022,16,0.19
2022,30,0.04
2023,7,0.3
2022,28,0.07
2022,17,0.18
2023,8,0.3
2022,51,0.11
2022,35,0.03
2023,6,0.22
2022,34,0.05
2022,52,0.13
2023,5,0.24
2022,33,0.06
2022,18,0.19
